size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
650,Independent Floor,2,mayur vihar phase 1,11000,16.923076923076923,19561.660079051384
630,Independent Floor,2,mayur vihar phase 1,12500,19.841269841269842,19561.660079051384
500,Apartment,2,mayur vihar phase 1,12000,24.0,19561.660079051384
450,Apartment,2,mayur vihar phase 1,12000,26.666666666666668,19561.660079051384
900,Independent Floor,3,mayur vihar phase 1,20000,22.22222222222222,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,13000,20.0,19561.660079051384
700,Independent Floor,2,mayur vihar phase 1,13000,18.571428571428573,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,13000,21.666666666666668,19561.660079051384
580,Independent Floor,2,mayur vihar phase 1,10500,18.103448275862068,19561.660079051384
680,Independent Floor,2,mayur vihar phase 1,13000,19.11764705882353,19561.660079051384
450,Independent House,2,mayur vihar phase 1,11000,24.444444444444443,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,11000,20.0,19561.660079051384
900,Independent Floor,3,mayur vihar phase 1,17000,18.88888888888889,19561.660079051384
750,Independent Floor,2,Preet Vihar,11000,14.666666666666666,23355.555555555555
1200,Apartment,2,mayur vihar phase 1,28000,23.333333333333332,19561.660079051384
640,Apartment,2,New Ashok Nagar,11000,17.1875,12721.019108280254
550,Independent House,2,mayur vihar phase 1,11500,20.90909090909091,19561.660079051384
1000,Independent Floor,2,Preet Vihar,14000,14.0,23355.555555555555
1100,Independent Floor,3,Preet Vihar,16000,14.545454545454545,23355.555555555555
1000,Independent Floor,3,Preet Vihar,16000,16.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,14000,14.0,23355.555555555555
1000,Independent Floor,3,Preet Vihar,16000,16.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,15000,15.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,12000,12.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,12500,12.5,23355.555555555555
1200,Apartment,3,mayur vihar phase 1,40000,33.333333333333336,19561.660079051384
1000,Apartment,2,mayur vihar phase 1,28000,28.0,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,11800,21.454545454545453,19561.660079051384
800,Apartment,2,mayur vihar phase 1,20000,25.0,19561.660079051384
1000,Independent Floor,2,Preet Vihar,20000,20.0,23355.555555555555
800,Independent Floor,2,Preet Vihar,11000,13.75,23355.555555555555
1000,Independent House,2,Preet Vihar,21000,21.0,23355.555555555555
1000,Independent Floor,3,Preet Vihar,16000,16.0,23355.555555555555
1000,Independent Floor,3,mayur vihar phase 1,25500,25.5,19561.660079051384
800,Independent Floor,2,mayur vihar phase 1,25500,31.875,19561.660079051384
